ImageName,Row,Column,Radius
img0.png,179,136,22
img1.png,100,126,28
img2.png,37,34,12
img3.png,187,95,37
img4.png,191,48,13
img5.png,67,6,49
img6.png,46,108,29
img7.png,40,41,14
img8.png,114,95,39
img9.png,116,94,49
img10.png,4,189,13
img11.png,85,162,43
img12.png,157,189,15
img13.png,83,174,13
img14.png,79,140,34
img15.png,174,110,26
img16.png,87,99,30
img17.png,121,41,46
img18.png,101,53,12
img19.png,7,58,34
img20.png,116,174,36
img21.png,26,111,32
img22.png,83,54,48
img23.png,104,119,46
img24.png,190,107,44
img25.png,107,163,15
img26.png,22,17,38
img27.png,23,132,32
img28.png,96,78,37
img29.png,91,44,28
img30.png,190,143,10
img31.png,5,35,13
img32.png,131,84,43
img33.png,147,45,46
img34.png,48,126,20
img35.png,12,31,16
img36.png,71,17,42
img37.png,166,196,47
img38.png,33,55,22
img39.png,188,178,15
img40.png,90,31,34
img41.png,131,159,18
img42.png,121,120,31
img43.png,73,198,30
img44.png,194,115,25
img45.png,73,17,37
img46.png,90,119,39
img47.png,160,75,45
img48.png,138,146,30
img49.png,74,3,22
img50.png,95,72,20
img51.png,59,158,45
img52.png,198,60,46
img53.png,159,172,48
img54.png,106,33,21
img55.png,159,106,20
img56.png,62,133,39
img57.png,87,185,30
img58.png,19,39,33
img59.png,182,144,37
img60.png,75,81,18
img61.png,111,28,45
img62.png,4,161,43
img63.png,135,143,32
img64.png,175,131,43
img65.png,147,112,41
img66.png,89,104,39
img67.png,120,124,16
img68.png,94,151,45
img69.png,94,193,25
img70.png,80,138,49
img71.png,23,27,45
img72.png,138,185,10
img73.png,0,71,46
img74.png,58,33,14
img75.png,67,105,22
img76.png,185,17,12
img77.png,148,148,28
img78.png,166,115,10
img79.png,108,188,19
img80.png,7,55,17
img81.png,136,198,35
img82.png,31,40,25
img83.png,188,160,30
img84.png,121,173,13
img85.png,172,141,47
img86.png,89,37,44
img87.png,1,74,21
img88.png,91,17,49
img89.png,184,173,19
img90.png,71,100,45
img91.png,143,67,41
img92.png,171,47,28
img93.png,94,6,33
img94.png,15,73,24
img95.png,5,78,24
img96.png,20,77,34
img97.png,78,76,38
img98.png,108,132,36
img99.png,56,162,30
img100.png,48,153,39
img101.png,136,136,20
img102.png,198,110,29
img103.png,172,98,10
img104.png,176,66,31
img105.png,15,167,41
img106.png,173,71,20
img107.png,98,111,49
img108.png,65,190,13
img109.png,174,53,38
img110.png,28,174,35
img111.png,70,49,26
img112.png,178,114,17
img113.png,124,15,18
img114.png,199,66,36
img115.png,189,47,12
img116.png,45,116,27
img117.png,110,138,46
img118.png,24,149,25
img119.png,109,67,32
img120.png,131,49,22
img121.png,142,43,25
img122.png,113,198,33
img123.png,48,123,29
img124.png,78,97,41
img125.png,171,190,25
img126.png,133,37,38
img127.png,160,163,30
img128.png,16,108,37
img129.png,81,84,35
img130.png,27,121,40
img131.png,177,42,35
img132.png,121,95,48
img133.png,165,16,10
img134.png,146,138,37
img135.png,160,196,18
img136.png,15,68,38
img137.png,44,54,22
img138.png,69,61,45
img139.png,150,147,13
img140.png,73,83,38
img141.png,101,21,22
img142.png,190,105,34
img143.png,116,87,37
img144.png,123,71,42
img145.png,23,152,11
img146.png,168,102,34
img147.png,1,106,38
img148.png,19,144,42
img149.png,118,96,37
img150.png,171,44,21
img151.png,151,176,10
img152.png,171,125,34
img153.png,20,193,18
img154.png,77,18,36
img155.png,180,9,25
img156.png,7,32,18
img157.png,163,61,24
img158.png,164,172,16
img159.png,175,18,47
img160.png,186,38,41
img161.png,13,57,14
img162.png,136,13,47
img163.png,59,4,38
img164.png,4,33,44
img165.png,133,184,27
img166.png,146,99,34
img167.png,147,189,47
img168.png,76,21,26
img169.png,44,167,28
img170.png,8,7,33
img171.png,190,157,40
img172.png,148,18,27
img173.png,104,77,44
img174.png,162,74,38
img175.png,39,82,35
img176.png,26,41,11
img177.png,101,106,40
img178.png,76,97,23
img179.png,2,162,40
img180.png,58,53,30
img181.png,25,99,43
img182.png,4,94,31
img183.png,173,38,30
img184.png,128,38,23
img185.png,24,58,28
img186.png,123,117,40
img187.png,62,63,15
img188.png,101,107,10
img189.png,103,113,20
img190.png,165,179,31
img191.png,82,125,19
img192.png,81,112,13
img193.png,12,32,10
img194.png,146,18,33
img195.png,85,131,46
img196.png,122,21,23
img197.png,142,58,37
img198.png,32,167,34
img199.png,126,78,19
img200.png,58,141,11
img201.png,171,193,23
img202.png,30,173,20
img203.png,38,58,45
img204.png,142,43,16
img205.png,79,34,48
img206.png,112,115,40
img207.png,7,77,47
img208.png,54,26,44
img209.png,38,122,12
img210.png,62,196,35
img211.png,183,48,16
img212.png,122,194,35
img213.png,195,98,26
img214.png,31,43,19
img215.png,184,116,28
img216.png,176,57,31
img217.png,117,195,41
img218.png,145,117,11
img219.png,142,172,14
img220.png,12,79,38
img221.png,114,128,12
img222.png,54,36,16
img223.png,39,95,31
img224.png,80,108,35
img225.png,33,55,48
img226.png,198,190,33
